task,threshold,precision,recall,f1,predicted_positive
link,0.33,0.5319148936170213,0.7911392405063291,0.6361323155216285,235
link,0.34,0.5304347826086957,0.7721518987341772,0.6288659793814433,230
link,0.35,0.5307017543859649,0.7658227848101266,0.6269430051813472,228
link,0.36,0.5330396475770925,0.7658227848101266,0.6285714285714286,227
link,0.37,0.5333333333333333,0.759493670886076,0.6266318537859008,225
link,0.38,0.5409090909090909,0.7531645569620253,0.6296296296296297,220
link,0.39,0.5412844036697247,0.7468354430379747,0.6276595744680851,218
link,0.4,0.5420560747663551,0.7341772151898734,0.6236559139784946,214
link,0.41,0.5480769230769231,0.7215189873417721,0.6229508196721312,208
link,0.42,0.5588235294117647,0.7215189873417721,0.6298342541436464,204
link,0.43,0.5566502463054187,0.7151898734177216,0.6260387811634349,203
link,0.44,0.5577889447236181,0.7025316455696202,0.6218487394957983,199
link,0.45,0.558974358974359,0.689873417721519,0.6175637393767706,195
link,0.46,0.558974358974359,0.689873417721519,0.6175637393767706,195
link,0.47,0.5631578947368421,0.6772151898734177,0.6149425287356322,190
link,0.48,0.5675675675675675,0.6645569620253164,0.6122448979591837,185
link,0.49,0.5722222222222222,0.6518987341772152,0.6094674556213018,180
link,0.5,0.5795454545454546,0.6455696202531646,0.6107784431137725,176
link,0.51,0.5804597701149425,0.6392405063291139,0.608433734939759,174
link,0.52,0.5906432748538012,0.6392405063291139,0.6139817629179332,171
link,0.53,0.5833333333333334,0.620253164556962,0.6012269938650306,168
link,0.54,0.5914634146341463,0.6139240506329114,0.6024844720496895,164
link,0.55,0.5974842767295597,0.6012658227848101,0.5993690851735016,159
link,0.56,0.6025641025641025,0.5949367088607594,0.5987261146496815,156
link,0.57,0.6038961038961039,0.5886075949367089,0.5961538461538461,154
link,0.58,0.6038961038961039,0.5886075949367089,0.5961538461538461,154
link,0.59,0.6258503401360545,0.5822784810126582,0.6032786885245902,147
link,0.6,0.6232876712328768,0.5759493670886076,0.5986842105263158,146
link,0.61,0.6319444444444444,0.5759493670886076,0.6026490066225165,144
link,0.62,0.6382978723404256,0.569620253164557,0.6020066889632107,141
link,0.63,0.6496350364963503,0.5632911392405063,0.6033898305084746,137
link,0.64,0.664179104477612,0.5632911392405063,0.6095890410958904,134
link,0.65,0.6717557251908397,0.5569620253164557,0.6089965397923875,131
link,0.66,0.6666666666666666,0.5443037974683544,0.5993031358885017,129
link,0.67,0.6776859504132231,0.5189873417721519,0.5878136200716846,121
link,0.68,0.6779661016949152,0.5063291139240507,0.5797101449275363,118
link,0.69,0.6846846846846847,0.4810126582278481,0.5650557620817844,111
link,0.7,0.6915887850467289,0.46835443037974683,0.5584905660377358,107
link,0.71,0.696078431372549,0.44936708860759494,0.5461538461538461,102
link,0.72,0.7040816326530612,0.43670886075949367,0.5390625,98
link,0.73,0.7052631578947368,0.4240506329113924,0.5296442687747036,95
link,0.74,0.7078651685393258,0.3987341772151899,0.5101214574898786,89
link,0.75,0.7058823529411765,0.379746835443038,0.49382716049382713,85
link,0.76,0.6951219512195121,0.36075949367088606,0.475,82
link,0.77,0.7012987012987013,0.34177215189873417,0.4595744680851064,77
link,0.78,0.6944444444444444,0.31645569620253167,0.43478260869565216,72
link,0.79,0.6956521739130435,0.3037974683544304,0.42290748898678415,69
link,0.8,0.7014925373134329,0.2974683544303797,0.4177777777777778,67
link,0.81,0.7076923076923077,0.2911392405063291,0.4125560538116592,65
link,0.82,0.7049180327868853,0.2721518987341772,0.3926940639269406,61
link,0.83,0.7068965517241379,0.25949367088607594,0.37962962962962965,58
link,0.84,0.6851851851851852,0.23417721518987342,0.3490566037735849,54
link,0.85,0.6938775510204082,0.21518987341772153,0.3285024154589372,49
link,0.86,0.6888888888888889,0.1962025316455696,0.3054187192118227,45
link,0.87,0.675,0.17088607594936708,0.2727272727272727,40
link,0.88,0.6666666666666666,0.1518987341772152,0.24742268041237114,36
link,0.89,0.6571428571428571,0.14556962025316456,0.23834196891191708,35
link,0.9,0.6551724137931034,0.12025316455696203,0.20320855614973263,29
link,0.91,0.6666666666666666,0.11392405063291139,0.1945945945945946,27
link,0.92,0.7083333333333334,0.10759493670886076,0.18681318681318682,24
link,0.93,0.6470588235294118,0.06962025316455696,0.12571428571428572,17
link,0.94,0.6923076923076923,0.056962025316455694,0.10526315789473684,13
link,0.95,0.8,0.05063291139240506,0.09523809523809523,10
link,0.96,1.0,0.03164556962025317,0.06134969325153374,5
link,0.97,1.0,0.012658227848101266,0.025,2
link,0.98,1.0,0.006329113924050633,0.012578616352201259,1
link,0.99,0.0,0.0,0.0,0
link,1.0,0.0,0.0,0.0,0
